English,CEFR,gender,word,wordWithNiqqud,transliteration,definition,example,exampleWithNiqqud,translation
"advantage, benefit",B2,masculine,יתרון,יִתְרוֹן,yitrón,,יש לך יתרון כי אתה מכיר את הנושא טוב יותר.,יֵשׁ לְךָ יִתְרוֹן כִּי אַתָּה מַכִּיר אֶת הַנּוֹשֵׂא טוֹב יוֹתֵר.,You have an advantage because you know the topic better.
advertisement,B1,feminine,פרסומת,פִּרְסוֹמֶת,pirsómet,מודעה או פרסום,הפרסומת הזאת משגעת אותי!,הַפִּרְסׂמֶת הַזֹּאת מְשַׁגַּעַת אוֹתִי!,This advertisement is driving me crazy!
after,A1,preposition,אחרי,אַחֲרֵי,aħaréi,מילת יחס המציינת זמן מאוחר יותר ממשהו,אחרי השיעור אני אוכל.,אַחֲרֵי הַשִּׁעוּר אֲנִי אוֹכֵל.,"After the lesson, I eat."
after,B2,preposition,אחר,אַחֵר,aħár,מילת יחס לציון זמן מאוחר יותר,הטקס נתקיים ימים רבים אחר ההצבעה.,הַטַּקְס נִתְקַיֵּם יָמִים רַבִּים אַחַר הַהַצְבָּעָה.,The ceremony took place many days after the vote.
afternoon,A1,masculine,אחר הצהריים,אַחַר הַצָּהֳרַיִם,aħár hatsohoráim,החלק של היום אחרי הצהריים,אני פוגש חבר אחר הצהריים.,אֲנִי פּוֹגֵשׁ חָבֵר אַחַר הַצָּהֳרַיִם.,I meet a friend in the afternoon.
again,A1,adverb,שוב,שׁוּב,shuv,פעם נוספת,אני רוצה לנסות שוב.,אֲנִי רוֹצֶה לִנְסוֹת שׁוּב.,I want to try again.
"against, opposite",A2,preposition,נגד,נֶגֶד,néged,בניגוד למשהו,הקבוצה שיחקה נגד קבוצה אחרת.,הַקְּבוּצָה שִׂחֲקָה נֶגֶד קְבוּצָה אַחֶרֶת.,The team played against another team.
"age, period",A1,masculine,גיל,גִּיל,gil,משך חיים או פרק זמן מסוים,גיל הילד הוא שש.,גִּיל הַיֶּלֶד הוּא שֵׁשׁ.,The child's age is six.
agenda,B2,masculine,סדר יום,סֵדֶר יוֹם,séder yom,,סדר היום בידיעות כולל נושאים חשובים לדיון.,סֵדֶר הַיּוֹם בַּיְּדִיעוֹת כּוֹלֵל נוֹשְׂאִים חֲשׁוּבִים לְדִיּוּן.,The agenda in the news includes important topics for discussion.
ago,A2,,לפני,לִפְנֵי,lifnéi,זמן שעבר בעבר,הוא עזב את העיר לפני שנה.,הוּא עָזַב אֶת הָעִיר לִפְנֵי שָׁנָה.,He left the city a year ago.
agree,A2,verb,הסכים,הִסְכִּים,hiskím,הביע הסכמה,הוא הסכים לבוא למסיבה.,הוּא הִסְכִּים לָבוֹא לַמְּסִיבָּה.,He agreed to come to the party.
agreement,B2,masculine,הסכם,הֶסְכֵּם,heském,,הממשלות חתמו על הסכם לשיתוף פעולה.,הַמֶּמְשָׁלוֹת חָתְמוּ עַל הֶסְכֵּם לְשִׁתּוּף פְּעוּלָה.,The governments signed an agreement for cooperation.
agricultural,B2,adjective,חקלאי,חַקְלָאִי,ħaklaí,,התעשיה החקלאית צריכה טכנולוגיה חדשה.,הַתַּעֲשִׂיָּה הַחַקְלָאִית צְרִיכָה טֶכְנוֹלוֹגְיָה חֲדָשָׁה.,The agricultural industry needs new technology.
agriculture,B2,feminine,חקלאות,חַקְלָאוּת,ħaklaút,,חקלאות משפעת על הכלכלה והסביבה.,חַקְלָאוּת מְשַׁפַּעַת עַל הַכַּלְכָּלָה וְהַסְּבִיבָה.,Agriculture affects the economy and the environment.
air,A1,masculine,אוויר,אֲוִויר,avír,החומר שאנשים ובעלי חיים נושמים,האוויר קר היום.,האֲוִיר קַר הַיּוֹם.,The air is cold today.
air force,B1,masculine,חיל אוויר,חֵיל אֲוִיר,ħeil avír,כוח הצבא באוויר,אחי שרת בחיל האוויר.,אָחִי שֵׁרֵת בְּחֵיל הָאֲוִיר.,My brother served in the Air Force.
"airplane, plane",A2,masculine,מטוס,מָטוֹס,matós,כלי טיס גדול להובלת נוסעים,המטוס נמצא בשדה התעופה.,הַמָּטוֹס נִמְצָא בַּשָּׂדֶה הַתְּעוּפָה.,The airplane is at the airport.
"airplane, plane",B1,masculine,אוירון,אוִירוֹן,avirón,כלי טיס קטן,האוירון הזה קטן ומיושן.,הָאוֹיָרוֹן הַזֶּה קָטָן וּמְיֻשָּׁן.,This airplane is small and old.
airport,A2,masculine,שדה תעופה,שְׂדֵה תְּעוּפָה,sdé tufá,מקום שממנו ממריאים מטוסים,שדה התעופה רחוק מהעיר.,שְׂדֵה הַתְּעוּפָה רָחוֹק מֵהָעִיר.,The airport is far from the city.
airport,B2,masculine,נמל תעופה,נְמַל תְּעוּפָה,nmál tufá,,בנמל התעופה היה עיכוב בטיסות.,בְּנָמֵל הַתְּעוּפָה הָיָה עִכּוּב בַּטִּיסוֹת.,There was a delay in flights at the airport.
alarm clock,A2,masculine,שעון מעורר,שָׁעוֹן מְעוֹרֵר,shaón mórer,שעון המצלצל להעיר משינה,השעון מעורר צלצל בבוקר.,הַשָּׁעוֹן מְעוֹרֵר צִלְצֵל בַּבֹּקֶר.,The alarm clock rang in the morning.
album,A2,masculine,אלבום,אַלְבּוֹם,albóm,ספר עם אוסף תמונות או שירים,יש לי אלבום תמונות מהטיול.,יֵשׁ לִי אַלְבּוֹם תְּמוּנוֹת מֵהַטִּיּוּל.,I have a photo album from the trip.
alcohol,B2,masculine,כוהל,כֹּהֶל,kóhel,,החוק אוסר לנהוג בעודף כהל בדם.,הַחֹק אוֹסֵר לִנְהֹג בְּעוֹדֶף כֹּהֶל בַּדָּם.,The law forbids driving with excessive alcohol in the blood.
alive,A1,masculine,חי,חַי,ħái,בעל חיים שאינו מת,הדג עוד חי.,הַדָּג עוֹד חַי.,The fish is still alive.
"all, each, every",A1,adjective,כל,כֹּל,kol,כלל האנשים או הדברים,כל הילדים שמחים.,כָּל הַיְּלָדִים שְׂמֵחִים.,All the children are happy.
allegory,B2,feminine,אלגוריה,אַלֵּגוֹרְיָה,algoria,סיפור סמלי עם משמעות עמוקה,הסיפור משמש אלגוריה על החיים.,הַסִּפּוּר מְשַׁמֵּשׁ אַלֶּגוֹרְיָה עַל הַחַיִּים.,The story serves as an allegory about life.
allergic,A2,adjective,אלרגי,אַלֶרְגִּי,alérgi,בעל רגישות מיוחדת לחומר מסוים,הוא אלרגי לאגוזים.,הוּא אַלֶּרְגִּי לָאֱגוֹזִים.,He is allergic to nuts.
allergy,A2,feminine,אלרגיה,אַלֶרְגִּיָּה,alérgya,תגובה רפואית לגירוי מסוים,אני סובל מאלרגיה לאבקת פרוחים.,אֲנִי סוֹבֵל מֵאַלֶּרְגִּיָּה לְאַבְקַת פֵּרוּחִים.,I suffer from a pollen allergy.
alone,A1,adverb,לבד,לְבַד,levád,בהיעדר אחרים,הוא הלך לבד לחנות.,הוּא הָלַךְ לְבַד לַחָנוּת.,He went alone to the store.
aloud,B1,,בקול רם,בְּקוֹל רָם,bkól ram,בקול חזק,"מי שרוצה להבין טוב, צריך לקרוא בקול רם.","מִי שֶׁרׂוצֶה לְהַבִּין טוֹב, צָרִיךְ לִקְרׂוא בְּקׂול רָם.",Whoever wants to understand well should read aloud.
alphabet,A1,masculine,אלפבית,אַלְפָּבֵּית,alefbét,מערכת של סימנים לייצוג השפה בכתב,אני לומד את האלפבית העברי.,אֲנִי לוֹמֵד אֶת הָאַלְפָבֵּית הָעִבְרִי.,I'm learning the Hebrew alphabet.
already,A2,adverb,כבר,כְּבָר,kvar,כבר קרה קודם,אני כבר סיימתי לעבוד.,אֲנִי כְּבָר סִיַּמְתִּי לַעֲבוֹד.,I already finished working.
"also, too",A1,adverb,גם,גַּם,gam,שטח עם צמחייה ועצים למשחק או מנוחה,גם אני רוצה גלידה.,גַּם אֲנִי רוֹצֶה גְּלִידָה.,I also want ice cream.
always,A1,adverb,תמיד,תָּמִיד,tamíd,בכל זמן שהוא,היא תמיד שמחה.,הִיא תָּמִיד שְׂמֵחָה.,She is always happy.
ambiguous,C,masculine,דו משמעי,דּוּ־מַשְׁמָעִי,dú mashmaí,בעל שתי משמעויות שונות,המשפט יצא דו משמעי וגרם לבלבול.,הַמִּשְׁפָּט יָצָא דוּ־מַשְׁמָעִי וְגָרַם לְבִלְבּוּל.,The sentence came out ambiguous and caused confusion.
American,A1,adjective,אמריקאי,אַמֶרִיקָאִי,amerikái,מתאר דבר או אדם מארצות הברית,החבר שלי אמריקאי.,הֶחָבֵר שֶׁלִּי אַמֶרִיקָאִי.,My friend is American.
ammunition,B2,feminine,תחמושת,תַּחְמוֹשֶׁת,taħmóshet,,החיילים קיבלו תחמושת לפני הקרב.,הַחַיָּלִים קִבְּלוּ תַּחְמֹשֶׁת לִפְנֵי הַקְּרָב.,The soldiers received ammunition before the battle.
"amuse, make laugh",B1,verb,הצחיק,הִצְחִיק,hitskhík,הצחיק אדם אחר,הסרט הזה הצחיק אותי מאוד.,הַסֶּרֶט הַזֶּה הִצְחִיק אוֹתִי מְאוֹד.,This movie really amused me.
ancient,B1,adjective,עתיק,עָתִיק,atík,שייך לעבר רחוק,זה חפץ עתיק מאוד.,זֶה חֵפֶץ עַתִּיק מֵאוֹד.,This is a very ancient object.
"ancient, primitive",B1,adjective,קדום,קָדוּם,kadúm,שייך לעבר קדום,בעיר הקדומה היו בתים מאבן.,בְּעִיר הַקְּדוּמָה הָיוּ בָּתִּים מֵאֶבֶן.,"In the ancient city, there were stone houses."
and,A1,,ו,וְ,v,מילת חיבור בין מילים או משפטים,אני אוהב לחם וגבינה.,אֲנִי אוֹהֵב לֶחֶם וְגְבִינָה.,I like bread and cheese.
animal,B1,masculine,בעל חיים,בַּעַל חַיִּים,báal ħayím,יצור החי בטבע,בעל חיים זר נראה ביער.,בַּעַל חַיִּים זָר נִרְאָה בַּיַּעַר.,A rare animal was seen in the forest.
animal,A1,feminine,חיה,חַיָּה,ħayá,יצור חי שאינו אדם,החיה הזאת גדולה.,הַחַיָּה הַזֹּאת גְּדוֹלָה.,This animal is big.
annex,C,verb,סיפח,סִיפֵּחַ,sipéakh,צרף שטח למדינה,הצבא סיפח שטחים חדשים.,הַצָּבָא סִפֵּחַ שְׁטָחִים חֲדָשִׁים.,The army annexed new territories.
answer,A2,verb,ענה,עָנָה,aná,ענה לשאלה,התלמיד ענה לשאלה.,הַתַּלְמִיד עָנָה לַשְּׁאֵלָה.,The student answered the question.
answer,A2,feminine,תשובה,תְּשׁוּבָה,tshuvá,תגובה לשאלה,המורה נתן לתלמיד תשובה על השאלה.,הַמּוֹרֶה נָתַן לַתַּלְמִיד תְּשׁוּבָה עַל הַשְּׁאֵלָה.,The teacher gave the student an answer to the question.
antibody,B2,masculine,נוגדן,נוֹגְדָּן,nogdán,,הנוגדנים בדם נלחמים בהדבקות.,הַנוֹגְדָּנִים בַּדָּם נִלְחָמִים בַּהַדַּבָּקוֹת.,Antibodies in the blood fight infections.
antisemitic,B1,adjective,אנטישמי,אַנְטִישֵׁמִי,antishémi,שונא יהודים,דעה אנטישמית היא מסוכנת.,דֵּעָה אַנְטִישֶׁמִית הִיא מַסּוּכֶּנֶת.,An antisemitic opinion is dangerous.
anxiety,B2,feminine,חרדה,חֲרָדָה,kharadá,,החרדה שלה גרמה לה להסתגר בבית.,הַחֲרָדָה שֶׁלָּהּ גָּרְמָה לָהּ לְהִסְתַּגֵּר בַּבַּיִת.,Her anxiety caused her to isolate herself at home.
any,A2,,שום,שׁוּם,shum,אין אף דבר,אין לי שום רעיון מה לעשות.,אֵין לִי שׁוּם רַעְיוֹן מָה לַעֲשׂוֹת.,I have no idea what to do.
anything,A2,,שום דבר,שׁוּם דָּבָר,shum davár,חוסר מוחלט של משהו,הוא לא אמר שום דבר כל היום.,הוּא לֹא אָמַר שׁוּם דָּבָר כָּל הַיּוֹם.,He didn’t say anything all day.
anyway,B1,,"בכל אופן",בְּכָל אֹפֶן,beħól ófen,כך או אחרת,"לא רציתי לבוא, אבל בכל אופן הגעתי.","לֹא רָצִיתִי לָבוֹא, אֲבָל בְּכׂל אׂופֶן הִגַּעְתִּי.","I didn’t want to come, but I came anyway."
apartment,A1,feminine,דירה,דִּירָה,dirá,מבנה למגורים של משפחות,הדירה שלי קטנה ויפה.,הַדִּירָה שֶׁלִּי קְטַנָּה וְיָפָה.,My apartment is small and beautiful.
apple,A1,masculine,תפוח,תַּפּוּחַ,tapúaħ,פרי עגול מתוק או חמוץ,אני אוכל תפוח אדום.,אֲנִי אוֹכֵל תַּפּוּחַ אָדוֹם.,I am eating a red apple.
April,A1,masculine,אפריל,אַפְּרִיל,apríl,החודש הרביעי בלוח השנה הלועזי,באפריל הפרחים פורחים.,בְּאַפְרִיל הַפְּרָחִים פּוֹרְחִים.,"In April, the flowers bloom."
"Arabic, Arabic language",A2,feminine,ערבית,עֲרָבִית,aravít,שפה המדוברת במדינות ערב,היא לומדת ערבית באוניברסיטה.,הִיא לוֹמֶדֶת עֲרָבִית בָּאוּנִיבֶרְסִיטָה.,She is learning Arabic at the university.
architect,B1,masculine,אדריכל,אַדְרִיכָל,adriħál,מי שמתכנן מבנים,האדריכל תכנן בית משפחה חדש.,הָאַדְרִיכָל תִּכְנֵן בֵּית מִשְׁפָּחָה חָדָשׁ.,The architect designed a new family house.
architecture,B2,feminine,אדריכלות,אַדְרִיכָלוּת,adriħalút,תחום תכנון הבניינים,האדריכלות המודרנית משלבת חומרים יחידיים.,הָאַדְרִיכָלוּת הַמּוֹדֶרְנִית מְשַׁלֶּבֶת חוֹמְרוֹת יְחִידִיִּים.,Modern architecture integrates unique materials.
architecture,B2,feminine,ארכיטקטורה,אַרְכִיטֶקְטוּרָה,arħitektúra,תחום תכנון מבנים,ארכיטקטורה קלאסית משמרת סגנונות היסטוריים.,אַרְכִיטֶקְטוּרָה קְלַאסִית מְשַׁמֶּרֶת סִגְנוֹנוֹת הִיסְטוֹרִיִּים.,Classical architecture preserves historical styles.
"area, region",A2,masculine,אזור,אֵזוֹר,ezór,שטח מוגדר בארץ,האזור הזה מלא בהרים ונהרות.,הָאֵזוֹר הַזֶּה מְלֵא בְּהָרִים וּנְהָרוֹת.,This area is full of mountains and rivers.
"area, surface",B1,masculine,שטח,שֶׁטַח,shétaħ,שטח של מקום או אדמה,השטח הזה גדול מאוד.,הַשֵּׁטַח הַזֶּה גָּדוֹל מְאוֹד.,This area is very large.
"argue, debate",B2,verb,התווכח,הִתְוַכֵּחַ,hitvakéaħ,,שניהם התווכחו על נושא פוליטי חשוב.,הַשְּׁנֵיהֶם הִתְוַכְּחוּ עַל נוֹשֵׂא פּוֹלִיטִי חַשּׁוּב.,They argued about an important political issue.
"argument, debate",B2,masculine,ויכוח,וִכּוּחַ,vikúaħ,,היה ויכוח חם בין המורה והתלמידים.,הָיָה וִכּוּחַ חַם בֵּין הַמּוֹרֶה וְהַתַּלְמִידִים.,There was a heated debate between the teacher and the students.
arrival,B1,feminine,הגעה,הַגִּיעָה,hagaa,פעולה של הגעה,ההגעה לנמל התעופה היתה מאוחרת.,הַהַגָּעָה לַנְּמַל הַתְּעוּפָה הָיְתָה מְאֻחֶרֶת.,The arrival at the airport was late.
arrive,A2,verb,הגיע,הִגִּיעַ,higía,בא אל מקום מסוים,הוא הגיע לתחנה בזמן.,הוּא הִגִּיעַ לַתַּחֲנָה בַּזְּמַן.,He arrived at the station on time.
arrive early,B1,verb,הקדים,הִקְדִּים,hikdím,הגיע מוקדם,הוא הקדים לפגישה כדי להתכונן.,הוּא הִקְדִּים לַפְּגִישָׁה כְּדֵי לְהִתְכּוֹנֵן.,He arrived early to the meeting to prepare.
art,B1,feminine,אמנות,אָמָנוּת,omanút,תחום היצירה והביטוי האסתטי,בתה לומדת אמנות באוניברסיטה.,בִּתָּהּ לוֹמֶדֶת אָמָּנוּת בָּאוּנִיבֶרְסִיטָה.,His daughter is studying art at the university.
article,B2,masculine,מאמר,מַאֲמָר,maamár,,המאמר בחן את ההשתנות החברתית.,הַמַּאֲמָר בָּחַן אֶת הַהִשְׁתַּנּוּת הַחֶבְרָתִית.,The article examined social change.
artist,A1,masculine,אומן,אוֹמָן,omán,אדם שיוצר יצירות אמנות,האומן מצייר.,הָאוֹמָן מְצַיֵּר.,The artist is painting.
artistic,B2,adjective,אמנותי,אָמָנוּתִי,omanutí,שייך לאמנות,התעיצוב היה אמנותי ומיוחד.,הַתַּעֲצוּב הָיָה אָמָּנוּתִי וּמְיֻחָד.,The design was artistic and unique.
as a rule,A2,phrase,בדרך כלל,בְּדֶרֶךְ כְּלָל,bdéreħ klal,בדרך כלל קורה,בדרך כלל הוא לא מאחר.,בְּדֶרֶךְ כְּלָל הוּא לֹא מְאַחֵר.,"As a rule, he is not late."
as usual,A2,adverb,כרגיל,כְּרָגִיל,ka-ragil,באופן הרגיל,הוא התנהג כרגיל אף על פי הקושי.,הוּא הִתְנַהֵג כְּרָגִיל אַף עַל פִּי הַקֹּשִׁי.,He behaved as usual despite the difficulty.
ash,B1,masculine,אפר,אֵפֶר,éfer,שארית הנותרת משריפה,אחרי השרפה נשאר רק אפר.,אַחֲרֵי הַשְּׂרֵפָה נִשְׁאַר רַק אֵפֶר.,"After the fire, only ash remained."
assembly,B2,feminine,עצרת,עֲצֶרֶת,atséret,,בעיר התקיימה עצרת למען הזכויות האדם.,בָּעִיר הִתְקַיְּמָה עֲצֶרֶת לְמַעַן הַזְּכוּיוֹת הָאָדָם.,A rally was held in the city for human rights.
assume,B2,verb,הניח,הִנִּיחַ,heníaħ,,הוא הניח שהתוצאות יהיו שונות.,הוּא הִנִּיחַ שֶׁהַתּוֹצָאוֹת יִהְיוּ שׁוֹנוֹת.,He assumed that the results would be different.
assumption,B2,feminine,הנחה,הֲנָחָה,hanaħa,,ההנחה שלנו היתה שגויה.,הַנַּחָה שֶׁלָּנוּ הָיְתָה שְׁגוּיָה.,Our assumption was incorrect.
asterisk,B2,feminine,כוכבית,כּוֹכָבִית,koħavít,,סמן את המלה בכוכבית.,סַמֵּן אֶת הַמִּלָּה בְּכּוֹכָבִית.,Mark the word with an asterisk.
atheism,B2,masculine,אתאיזם,אַתֵּאִיזְם,ateízm,שלילה של קיום אל,אתאיזם הוא עמדה רווחת בחברות חילוניות.,אַתֵּאִיזְם הוּא עֶמְדָּה רוֹוחַת בְּחֶבְרוֹת חִלּוֹנִיּוֹת.,Atheism is a common belief in secular societies.
ATM,A2,feminine,כספומט,כַּסְפּוֹמָט,kaspomat,מכשיר למשיכת כסף,אני מוצא כספומט ליד הבנק.,אֲנִי מוֹצֵא כַּסְפּוֹמָט לְיַד הַבַּנְק.,I found an ATM near the bank.
atmosphere,B1,feminine,אווירה,אֲוִירָה,avirá,תחושה כללית במקום,יש כאן אוירה חמה ונעימה.,יֵשׁ כָּאן אֲוִירָה חַמָּה וּנְעִימָה.,There is a warm and pleasant atmosphere here.
atomic,B2,adjective,אטומי,אַטּוֹמִי,atomí,קשור לאטום,הפצצה האטומית שינתה את ההיסטוריה.,הַפְּצָצָה הָאַטּוֹמִית שִׁינְּתָה אֶת הַהִסְטוֹרְיָה.,The atomic bomb changed history.
attack,B2,feminine,התקפה,הַתְקָפָה,hatkafá,,ההתקפה היתה מתוכננת מראש.,הַהַתְקָפָה הָיְתָה מִתּוֹכְנֶנֶת מֵרֹאשׁ.,The attack was planned in advance.
attack,B2,verb,תקף,תָּקֵף,takáf,,הכוח הזר תקף את העיר בלילה.,הַכּוֹחַ הַזָּר תָּקַף אֶת הָעִיר בַּלַּיְלָה.,The foreign force attacked the city at night.
attempt,B1,masculine,ניסיון,נִסָּיוֹן,nisayón,ניסיון או ניסיון חיים,ניסיון הראשון שלי לבשל לא היה מצליח.,נִסָּיוֹן הָרִאשׁוֹן שֶׁלִּי לְבַשֵּׁל לֹא הָיָה מַצְלִיחַ.,My first attempt at cooking was unsuccessful.
attention,B2,feminine,"תשומת לב",תְּשׂוּמֶת לֵב,tsumát lev,,צריך לתת תשומת לב לפרטים הקטנים.,צָרִיךְ לָתֵת תְּשׂוּמֶת לֵב לַפְּרָטִים הַקְּטַנִּים.,One must pay attention to the small details.
attractive,A2,adjective,מושך,מוֹשֵׁךְ,moshekh,בעל יופי שמושך תשומת לב,"הנער משוך במבטו, וכל הנשים מסכנות אותו.","הַנַּעַר מְשׁוֹךְ בְּמַבָּטוֹ, וְכָל הַנָּשִׁים מְסַכְּנוֹת אוֹתוֹ.","The boy is attractive in his look, and all the women are drawn to him."
attractive man,B2,masculine,חתיך,חֲתִיךְ,ħatíħ,,השחקן הזה מאוד חתיך ומפורסם.,הַשַּׂחְקָן הַזֶּה מְאוֹד חָתִיךְ וּמְפֻרְסָם.,This actor is very attractive and famous.
audio,B2,masculine,שמע,שָׁמַע,shéma,,הקלט שמע באזור היה חלש.,הַקַּלֵּט שֶׁמַע בָּאֵזוֹר הָיָה חַלָּשׁ.,The audio reception in the area was weak.
August,A1,masculine,אוגוסט,אוֹגוּסְט,ogúst,החודש השמיני בלוח השנה הלועזי,אוגוסט הוא חודש חם מאוד.,אוֹגוּסְט הוּא חוֹדֶשׁ חַם מְאוֹד.,August is a very hot month.
"author, writer",B1,masculine,סופר,סוֹפֵר,sofér,מי שכותב ספרים,הסופר הזה כתוב ספרים נהדרים.,הַסּׂופֵר הַזֶּה כָּתוּב סְפָרִים נֶהְדָּרִים.,This author writes amazing books.
autonomy,B2,feminine,אוטונומיה,אוֹטוֹנוֹמְיָה,otonómya,יכולת של שלטון עצמאי,המדינה נלחמת בעד אוטונומיה תרבותית.,הַמֶּדִינָה נִלְחֶמֶת בְּעַד אוֹטוֹנוֹמְיָה תַּרְבּוּתִית.,The country is fighting for cultural autonomy.
"avenue, boulevard",B2,feminine,שדרה,שְׁדֵרָה,sderá,,השדרה הזאת מלאה בעצים יפים.,הַשְּׁדֵרָה הַזֹּאת מְלֵאָה בְּעֵצִים יְפִים.,This avenue is full of beautiful trees.
