titleHebrew,titleEnglish,genre,CEFR,hebrew,english,hebrewNoNiqqud
רַעֲשֵׁי אֲדָמָה,Earthquakes,science,A1,"רַעַשׁ אֲדָמָה הוּא תְּנוּעָה חֲזָקָה שֶׁל הָאֲדָמָה. כְּשֶׁהָאֲדָמָה זוֹזָה, הַבָּתִּים רוֹעֲדִים. אֲנָשִׁים רָצִים לַחוּץ וּמְחַפְּשִׂים מָקוֹם בָּטוּחַ. רַעַשׁ אֲדָמָה יָכוֹל לִהְיוֹת קָצָר אוֹ אָרוֹךְ. בַּסּוֹף הָאֲדָמָה נִרְגַּעַת, וְהָאֲנָשִׁים חוֹזְרִים לְבָתֵּיהֶם.","An earthquake is a strong movement of the ground. When the ground moves, the houses shake. People run outside and look for a safe place. An earthquake can be short or long. In the end, the ground becomes calm, and the people return to their homes.","רעש אדמה הוא תנועה חזקה של האדמה. כשהאדמה זזה, הבתים רועדים. אנשים רצים לחוץ ומחפשים מקום בטוח. רעש אדמה יכול להיות קצר או ארוך. בסוף האדמה נרגעת, והאנשים חוזרים לבתיהם."
עֲרוּכוֹת עֶזְרָה רִאשׁוֹנָה,First Aid Kits,health,A1,,,
מְכוֹנוֹת טִיסָה,Flying Cars,science fiction,A1,,,
תִּסְפֹּרֶת,Getting a Haircut,dialogue,A1,,,
תְּזוּנָה בָּרִיאָה,Healthy Eating,health,A1,"אֲנִי אוֹהֵב לֶאֱכוֹל אוֹכֶל בָּרִיא.
בַּבֹּקֶר אֲנִי אוֹכֵל לֶחֶם וּפֵרוֹת.
בַּצָּהֳרַיִם אֲנִי אוֹכֵל אוֹפֶה וְסָלָט.
בָּעֶרֶב אֲנִי שׁוֹתֶה מַיִם וְאוֹכֵל יָרָקוֹת.
אוֹכֶל בָּרִיא עוֹזֵר לִי לְהַרְגִּישׁ טוֹב.","I like to eat healthy food.
In the morning I eat bread and fruit.
At noon I eat chicken and salad.
In the evening I drink water and eat vegetables.
Healthy food helps me feel good.","אני אוהב לאכול אוכל בריא.
בבוקר אני אוכל לחם ופירות.
בצהריים אני אוכל עוף וסלט.
בערב אני שותה מים ואוכל ירקות.
אוכל בריא עוזר לי להרגיש טוב."
הַאִם אֲרוּחַת בֹּקֶר חֲשׁוּבָה?,Is Breakfast Important?,health,A1,,,
לִמּוּד אֹצֶר מִלִּים חָדָשׁ,Learning New Vocabulary,monologue,A1,"שְׁמִי מִרְיָם. אֲנִי לוֹמֶדֶת עִבְרִית כִּי אֲנִי רוֹצָה לְדַבֵּר עִם חֲבֵרוֹת. כָּל יוֹם אֲנִי לוֹמֶדֶת מִלָּה חֲדָשָׁה. אֲנִי כּוֹתֶבֶת אֶת הַמִּלָּה בַּפֶּנְקָס, וַאֲנִי אוֹמֶרֶת אוֹתָהּ רַבּוֹת פְּעָמִים. כָּךְ אֲנִי זוֹכֶרֶת. כְּשֶׁאֲנִי מַכִּירָה מִלּוֹת חֲדָשׁוֹת, אֲנִי שְׂמֵחָה.","My name is Miriam. I am learning Hebrew because I want to speak with friends. Every day I learn a new word. I write the word in a notebook, and I say it many times. This way I remember. When I know new words, I am happy.","שמי מרים. אני לומדת עברית כי אני רוצה לדבר עם חברות. כל יום אני לומדת מילה חדשה. אני כותבת את המילה בפנקס, ואני אומרת אותה רבות פעמים. כך אני זוכרת. כשאני מכירה מילות חדשות, אני שמחה."
חַיִּים עַל מַאְדִּים,Life on Mars,science fiction,A1,,,
מַגְנֵטִים בַּחַיִּים הַיּוֹמְיוּמִיִּים,Magnets in Everyday Life,technology,A1,,,
מֵטְרוֹפּוֹלִין,Metropolis,science fiction,A1,,,
פִּטְרִיּוֹת,Mushrooms,food,A1,,,
הַכִּתָּה שֶׁלִּי,My Classroom,monologue,A1,"זֹאת הַכִּתָּה שֶׁלִּי.
בַּכִּתָּה יֵשׁ שֻׁלְחָן וְכִסֵּא.
יֵשׁ גַּם לוּחַ גָּדוֹל.
בַּכִּתָּה יֵשׁ מוֹרָה וְיֵשׁ תַּלְמִידוֹת וְתַלְמִידִים.
אֲנִי יוֹשֶׁבֶת עַל הַכִּסֵּא.
אֲנִי רוֹאֲה אֶת הַכִּתָּה.
הַכִּתָּה יָפָה וַאֲנִי שְׂמֵחָה.","This is my classroom.
In the classroom there is a table and a chair.
There is also a big board.
In the classroom there is a teacher and there are female and male students.
I am sitting on the chair.
I see the classroom.
The classroom is beautiful and I am happy.","זאת הכיתה שלי.
בכיתה יש שולחן וכיסא.
יש גם לוח גדול.
בכיתה יש מורה ויש תלמידות ותלמידים.
אני יושבת על הכיסא.
אני רואה את הכיתה.
הכיתה יפה ואני שמחה."
הָעִיר הָאֲהוּבָה עָלַי,My Favorite City,monologue,A1,"הָעִיר הָאַהוּבָה עָלַי הִיא תֵּל אָבִיב. אֲנִי אוֹהֵב אֶת תֵּל אָבִיב כִּי יֵשׁ בָּהּ חוֹף יָפֶה. בַּקַּיִץ אֲנִי הוֹלֵךְ לַיָּם עִם חֲבֵרִים, וַאֲנַחְנוּ שָׂמֵחַ. בָּעִיר יֵשׁ גַּם כַּמָּה גַּנִּים יָפִים, וַאֲנִי אוֹהֵב לָלֶכֶת שָׁם בַּעֶרֶב.

תֵּל אָבִיב הִיא גַּם עִיר גְּדוֹלָה. יֵשׁ בָּהּ רַבּוֹת מִסְעָדוֹת וַחֲנוּיּוֹת. אֲנִי אוֹהֵב לֶאֱכוֹל פִּיצָּה וְגַם גְּלִידָה. הָאֲנָשִׁים בָּעִיר חֲבֵרִים וְאֲנִי מַרְגִּישׁ בַּבַּיִת.

בְּעִיר שֶׁלִּי יֵשׁ חַיִּים שְׂמֵחִים וְאֲנִי רוֹצֶה לָגוּר שָׁם גַּם בַּעֲתִיד.","My favorite city is Tel Aviv. I love Tel Aviv because it has a beautiful beach. In the summer I go to the sea with friends, and we are happy. In the city there are also some beautiful gardens, and I like to walk there in the evening. Tel Aviv is also a big city. It has many restaurants and shops. I like to eat pizza and also ice cream. The people in the city are friendly, and I feel at home. In my city there is a happy life, and I want to live there also in the future.","העיר האהובה עלי היא תל אביב. אני אוהב את תל אביב כי יש בה חוף יפה. בקיץ אני הולך לים עם חברים, ואנחנו שמח. בעיר יש גם כמה גנים יפים, ואני אוהב ללכת שם בערב.

תל אביב היא גם עיר גדולה. יש בה רבות מסעדות וחנויות. אני אוהב לאכול פיצה וגם גלידה. האנשים בעיר חברים ואני מרגיש בבית.

בעיר שלי יש חיים שמחים ואני רוצה לגור שם גם בעתיד."
הָאֹכֶל הָאֲהוּב עָלַי,My Favorite Food,monologue,A1,,,
הַתַּחְבִּיב הָאֲהוּב עָלַי,My Favorite Hobby,monologue,A1,,,
נִסָּיוֹן הַבִּשּׁוּל הָרִאשׁוֹן שֶׁלִּי,My First Cooking Attempt,monologue,A1,,,
הַבַּיִת שֶׁלִּי,My Home,monologue,A1,"בֵּיתִי קָטָן וְנָעִים. יֵשׁ בַּבַּיִת סָלוֹן, מִטְבָּח וּשְׁתֵּי חֲדָרִים. הַסָּלוֹן אוֹרֵחַ וְיֵשׁ בּוֹ סַפְסָל וְשֻׁלְחָן קָטָן. הַמִּטְבָּח פָּשׁוּט אֲבָל נוֹחַ. יֵשׁ לִי חֶדֶר שֵׁנָה וַחֲדַר עֲבוֹדָה. אֲנִי אוֹהֶבֶת אֶת הַבַּיִת שֶׁלִּי.","My home is small and pleasant. The house has a living room, a kitchen, and two rooms. The living room is bright and has a couch and a small table. The kitchen is simple but comfortable. I have a bedroom and a study. I love my home.","ביתי קטן ונעים. יש בבית סלון, מטבח ושתי חדרים. הסלון אורח ויש בו ספסל ושולחן קטן. המטבח פשוט אבל נוח. יש לי חדר שינה וחדר עבודה. אני אוהבת את הבית שלי."
הַנְּסִיעָה הַיּוֹמִית שֶׁלִּי,My Morning Commute,monologue,A1,,,
שִׁגְרַת הַבֹּקֶר שֶׁלִּי,My Morning Routine,monologue,A1,,,
הַשְּׁכוּנָה שֶׁלִּי,My Neighborhood,monologue,A1,"שְׁכֻנָּה שֶׁלִּי קְטַנָּה וְיָפָה.
יֵשׁ בָּהּ בַּיִת סֵפֶר, חֲנוּת קְטַנָּה וּגַּן יְלָדִים.
אֲנִי אוֹהֶבֶת לָלֶכֶת בָּרֶגֶל לַגַּן הַיָּפֶה.
בַּשְּׁכֻנָּה יֵשׁ גַּם כֶּלֶב גָּדוֹל שֶׁכֻּלָּם מַכִּירִים.
הַשְּׁכֻנָּה שֶׁלִּי שֶׁקֶט וְנָעִים לָגוּר בָּהּ.","My neighborhood is small and pretty.
It has a school, a small shop, and a kindergarten.
I like to walk to the beautiful garden.
In the neighborhood there is also a big dog that everyone knows.
My neighborhood is quiet and pleasant to live in.","שכונה שלי קטנה ויפה.
יש בה בית ספר, חנות קטנה וגן ילדים.
אני אוהבת ללכת ברגל לגן היפה.
בשכונה יש גם כלב גדול שכולם מכירים.
השכונה שלי שקט ונעים לגור בה."
הַחֲיוֹת הַמְחַמָּדוֹת שֶׁלִּי,My Pets,monologue,A1,,,
,New Year's Eve in Israel,culture,A1,,,
חַיּוֹת לֵילִיוֹת,Nocturnal Animals,science,A1,,,
הַזְמָנַת גְּלִידָה,Ordering Ice Cream,dialogue,A1,,,
אֲרִיזָה לַחֲגֻגָּה,Packing for a Vacation,monologue,A1,"אֲנִי רוֹצָה לִסְעוֹד לַחֲגִיגָה.
אֲנִי צוֹרֶכֶת לֶאֱרוֹז מִזְוָדָה.
בַּמִּזְוָדָה יֵשׁ חֲלוּקוֹת, חֲצָאִיּוֹת וּבְגָדִים נוֹחִים.
אֲנִי שָׂמָה גַּם נַעֲלַיִם.
יֵשׁ לִי סְפָרִים קְטַנִּים לִקְרוֹא.
אֲנִי לוֹקַחַת מַיִם וּמַצְפֵּה לַיָּמִים שֶׁל מְנוּחָה.
אֲנִי מְאוֹד שְׂמֵחָה לָצֵאת לַחֲפָשָׁה.","I want to travel for vacation.
I need to pack a suitcase.
In the suitcase there are shirts, skirts, and comfortable clothes.
I also put shoes.
I have small books to read.
I take water and look forward to days of rest.
I am very happy to go on vacation.","אני רוצה לנסוע לחגיגה.
אני צריכה לארוז מזוודה.
במזוודה יש חולצות, חצאיות ובגדים נוחים.
אני שמה גם נעליים.
יש לי ספרים קטנים לקרוא.
אני לוקחת מים ומצפה לימים של מנוחה.
אני מאוד שמחה לצאת לחופשה."
פַּטַּטַס בְּרָבַּאס,Patatas bravas,food,A1,,,
מַעֲרֶכֶת פּוֹלִיטִית שֶׁל הָעוֹלָם,Political Systems of the World,politics,A1,,,
קְנִיַּת מַזְכָּרוֹת אֲכִילִים,Shopping for Edible Souvenirs,dialogue,A1,,,
קְנִיַּת מַצְרוֹכִים,Shopping for Groceries,monologue,A1,,,
עֵצוֹת פְּשׁוּטוֹת לְשֵׁנָה טוֹבָה יוֹתֵר,Simple Tips for Better Sleep,health,A1,"שֵׁנָה טוֹבָה עוֹזֶרֶת לָנוּ לִהְיוֹת חֲזָקִים וּשְׂמֵחִים. כְּדֵי לִישׁוֹן יָפֶה, טוֹב לִכְבּוֹת אֶת הַטֵּלֵפוֹן לִפְנֵי הַשֵּׁנָה. יֵשׁ לָשֶׁבֶת רֶגַע בְּשֶׁקֶט וְלִקְרוֹא סֵפֶר קָטָן. כָּדַאי לִשְׁתּוֹת מַיִם חַמִּים אוֹ חָלָב חַם. חֲדַר שֶׁקֶט וְחֹשֶׁךְ עוֹזֵר גַּם הוּא לִישׁוֹן יָפֶה.","Good sleep helps us be strong and happy. To sleep well, it’s good to turn off the phone before bed. Sit quietly for a moment and read a small book. It’s good to drink warm water or warm milk. A quiet and dark room also helps to sleep well.","שינה טובה עוזרת לנו להיות חזקים ושמחים. כדי לישון יפה, טוב לכבות את הטלפון לפני השינה. יש לשבת רגע בשקט ולקרוא ספר קטן. כדאי לשתות מים חמים או חלב חם. חדר שקט וחושך עוזר גם הוא לישון יפה."
רְחוֹק מֵהַעֲלוּם,Spirited Away,fantasy,A1,,,
הִשָּׁאֲרוּת פְּעִילִים בְּתוֹךְ הַבַּיִת,Staying Active Indoors,health,A1,,,
סוּשִׁי,Sushi,food,A1,"אֲנִי אוֹהֵב לֶאֱכוֹל סוּשִׁי.
הַסּוּשִׁי יֵשׁ בּוֹ אוֹרֶז וְדָג.
יֵשׁ סוּשִׁי עִם יְרָקוֹת גַּם כֵּן.
בְּתֵיאָטְרוֹן אֲנִי אוֹכֵל פִּיצָּה, וּבְמִסְעָדָה אֲנִי אוֹכֵל סוּשִׁי.
הַסּוּשִׁי טָעִים וַאֲנִי שָׂמֵחַ לֶאֱכוֹל אוֹתוֹ.","I like to eat sushi.
The sushi has rice and fish.
There is also sushi with vegetables.
At the theater I eat pizza, and at the restaurant I eat sushi.
The sushi is tasty and I am happy to eat it.","אני אוהב לאכול סושי.
הסושי יש בו אורז ודג.
יש סושי עם ירקות גם כן.
בתיאטרון אני אוכל פיצה, ובמסעדה אני אוכל סושי.
הסושי טעים ואני שמח לאכול אותו."
בְּדִיקַת הַבִּטָּחוֹן בַּשְּׂדֵה הַתְּעוּפָה,The Airport Security Check,dialogue,A1,,,
הַמַּאֲפִיָּה,The Bakery,dialogue,A1,,,
הַחוֹף,The Beach,dialogue,A1,,,
חֲנוּת הַסְּפָרִים,The Bookstore,dialogue,A1,,,
הַחֲנִיָּה לַמַּחֲנוֹת,The Campsite,dialogue,A1,,,
בֵּית־קָפֶה לַחֲתוּלִים,The Cat Cafe,dialogue,A1,,,
חֲנוּת הַנֹּחַ,The Convenience Store,dialogue,A1,,,
הַמַּרְאָה הַמְקֻלֶּלֶת,The Cursed Mirror,horror,A1,,,
מִשְׂרַד הָרוֹפֵא,The Doctor's Office,dialogue,A1,,,
חֲנוּת הַאֶלֶקְטְרוֹנִיקָה,The Electronics Store,dialogue,A1,,,
הַיּוֹם הָרִאשׁוֹן בַּעֲבוֹדָה חֲדָשָׁה,The First Day at a New Job,monologue,A1,,,
הָאוֹצָר הַנִּסְתָּר,The Hidden Treasure,monologue,A1,,,
קּוֹלְנוֹעַ,The Movie Theater,dialogue,A1,,,
בֵּית הַמִּרְקַחַת,The Pharmacy,dialogue,A1,,,
הַדֶּלֶת הַסּוֹדִית,The Secret Door,monologue,A1,,,
הַמַּעֲרֶכֶת הַשִּׁמְשִׁית,The Solar System,science,A1,,,
הַמּוֹנִית,The Taxi,dialogue,A1,,,
הַפְּגִישָּׁה הַנּוֹרָאָה,The Terrible Date,dialogue,A1,,,
תַּחֲנַת הָרַכֶּבֶת,The Train Station,dialogue,A1,,,
תְּקוּפַת הַוִיקִּינְגִּים,The Viking Age,history,A1,,,
מֶזֶג הָאֲוִיר הַיּוֹמִי,Today's Weather,monologue,A1,,,
לִהְיוֹת לָכֻד בִּפְנִים,Trapped Inside,horror,A1,,,
,Typically Israeli,culture,A1,,,
בִּקּוּר בְּמוּזֵיאוֹן,Visiting a Museum,monologue,A1,,,
בִּקּוּר בְּאַקְוַרְיוּם,Visiting an Aquarium,monologue,A1,,,
מַה הִיא טוֹב־לֵבָבוּת?,What is Kindness?,psychology,A1,,,
מַה הִיא פּוֹלִיטִיקָה?,What is Politics?,politics,A1,,,
מַה הוּא וַי־פַי?,What is Wi-Fi?,technology,A1,,,
מַדּוּעַ חַיּוֹת מְשַׂמְּחוֹת אוֹתָנוּ?,Why Do Animals Make Us Happy?,psychology,A1,,,
מַדּוּעַ יִשְׂרָאֵל כָּל כָּךְ חַמָּה?,Why Is Israel So Hot?,science,A1,"יִשְׂרָאֵל חַמָּה מְאֹד. הַשֶּׁמֶשׁ זוֹרַחַת בָּרוֹב הַיָּמִים. יִשְׂרָאֵל קְרוֹבָה לַמִּדְבָּר, וְלָכֵן הָאֲוִיר חַם. בַּקַּיִץ הַטֶּמְפֶּרָטוּרָה גְּבוֹהָה מְאֹד. בָּעִיר תֵּל־אָבִיב חַם וְלַח, וּבְאֵלַת חַם וְיָבֵשׁ. הָאֲנָשִׁים שׁוֹתִים מַיִם וְלוֹבְשִׁים בְּגָדִים קַלִּים כְּדֵי לְהִתְקַיֵּם בַּחֹם.","Israel is very hot. The sun shines on most days. Israel is close to the desert, and therefore the air is hot. In summer the temperature is very high. In the city of Tel Aviv it is hot and humid, and in Eilat it is hot and dry. People drink water and wear light clothes in order to manage in the heat.","ישראל חמה מאד. השמש זורחת ברוב הימים. ישראל קרובה למדבר, ולכן האוויר חם. בקיץ הטמפרטורה גבוהה מאד. בעיר תל־אביב חם ולח, ובאילת חם ויבש. האנשים שותים מים ולובשים בגדים קלים כדי להתקיים בחום."
מַדּוּעַ צְמָחִים צְרִיכִים אוֹר שֶׁמֶשׁ,Why Plants Need Sunlight,science,A1,,,
,A Day at the Library,monologue,A2,,,
,A Dinner for Two,dialogue,A2,,,
,Albert Einstein,biography,A2,,,
,Artificial Intelligence,technology,A2,,,
,Barcelona,travel,A2,,,
,Basque,language,A2,,,
,Blue Whales,science,A2,,,
,Budget Travel Tips,travel,A2,,,
,Buying Souvenirs,dialogue,A2,,,
,Capsule Hotels,travel,A2,,,
,Catalan,language,A2,,,
,City Parks,travel,A2,,,
,Comfort Food,food,A2,,,
,Compasses,technology,A2,,,
,Conveyor Belt Sushi,food,A2,,,
,Córdoba,travel,A2,,,
,Dinosaurs,science,A2,,,
,Don Quixote,drama,A2,,,
,Exploring a Forest,monologue,A2,,,
,Exploring Paris,monologue,A2,,,
,Formal Spanish,language,A2,,,
,Gazpacho,food,A2,,,
,George Orwell,biography,A2,,,
,GPS,technology,A2,,,
,Guernica,culture,A2,,,
,Hibernation,science,A2,,,
,Homage to Catalonia,history,A2,,,
,How Colors Affect Emotions,psychology,A2,,,
,How Stars Are Born,science,A2,,,
,Indian Spices,food,A2,,,
,Instant Ramen,food,A2,,,
,Intergalactic Communication,science fiction,A2,,,
,January in Spain,culture,A2,,,
,June in Spain,culture,A2,,,
,Ladino,language,A2,,,
,London,travel,A2,,,
,Madrid,travel,A2,,,
,May in Spain,culture,A2,,,
,Miguel de Cervantes,biography,A2,,,
,October in Spain,culture,A2,,,
,Pablo Picasso,biography,A2,,,
,Paella,food,A2,,,
,People-Watching in a Train Station,monologue,A2,,,
,Pizza,food,A2,,,
,Political Parties in Spain,politics,A2,,,
,Preparing for an Exam,monologue,A2,,,
,Recycling,technology,A2,,,
,Regional Differences in Spanish,language,A2,,,
,Rome,travel,A2,,,
,Sagrada Família,culture,A2,,,
,Salvador Dalí,biography,A2,,,
,Self-Driving Cars,technology,A2,,,
,Seoul,travel,A2,,,
,September in Spain,culture,A2,,,
,Shopping for Clothes,dialogue,A2,,,
,Simple Pleasures,monologue,A2,,,
,Smart Homes,technology,A2,,,
,Solar Power in Spain,technology,A2,,,
,Spanish Breakfast,food,A2,,,
,Spanish Dinner,food,A2,,,
,Spanish Lunch,food,A2,,,
,Street Food,food,A2,,,
,Symbolism in Everyday Objects,drama,A2,,,
,Tapas,food,A2,,,
,The Beatles,culture,A2,,,
,The Grand Canyon,travel,A2,,,
,The Great Wall of China,travel,A2,,,
,The Lost Wallet,dialogue,A2,,,
,The Mediterranean Diet,health,A2,,,
,The Old City of Jerusalem,travel,A2,,,
,The Post Office,dialogue,A2,,,
,The Restaurant,dialogue,A2,,,
,The Role of Luck in History,history,A2,,,
,The Zombie,horror,A2,,,
,Traveling Alone in Spain,monologue,A2,,,
,Utopias and Dystopias,drama,A2,,,
,Volcanoes,science,A2,,,
,Weekend Plans,dialogue,A2,,,
,Why the Sky is Blue,science,A2,,,
,Why We Dream,psychology,A2,,,
,A Song of Ice and Fire,fantasy,B1,,,
,Animal Crossing,culture,B1,,,
,Antiheroes,drama,B1,,,
,April in Spain,culture,B1,,,
,Atomic Habits,psychology,B1,,,
,August in Spain,culture,B1,,,
,Berlin,travel,B1,,,
,Biohacking,health,B1,,,
,Bioluminescent Animals,science,B1,,,
,Birth Order Theory,psychology,B1,,,
,Blue Zones,health,B1,,,
,Buddhism,philosophy,B1,,,
,Clichés,drama,B1,,,
,Climate Change,science,B1,,,
,Complaining About a Service,dialogue,B1,,,
,Confessions of a Bored Vampire,monologue,B1,,,
,Cooking in a Hostel Kitchen,monologue,B1,,,
,Dead Languages,language,B1,,,
,December in Spain,culture,B1,,,
,Democracy in Ancient Athens,history,B1,,,
,Digital Detoxes,health,B1,,,
,Domestication,science,B1,,,
,Dracula,horror,B1,,,
,February in Spain,culture,B1,,,
,Flavor Pairing,food,B1,,,
,Frankenstein,horror,B1,,,
,Fungi,science,B1,,,
,Game Design,technology,B1,,,
,Handling a Disagreement,dialogue,B1,,,
,Hannah Arendt,biography,B1,,,
,Impostor Syndrome,psychology,B1,,,
,Introducing Myself,monologue,B1,,,
,July in Spain,culture,B1,,,
,Learning a New Language,monologue,B1,,,
,Liminality,drama,B1,,,
,Magic Wands,fantasy,B1,,,
,Making Friends While Traveling,travel,B1,,,
,March in Spain,culture,B1,,,
,Minimalism,philosophy,B1,,,
,Nintendo,culture,B1,,,
,November in Spain,culture,B1,,,
,Oslo,travel,B1,,,
,Planning a Day of Adventure,monologue,B1,,,
,Public Transit Maps,travel,B1,,,
,Regret,psychology,B1,,,
,Secret Passageways,fantasy,B1,,,
,Smart Cities,technology,B1,,,
,Social Anxiety,psychology,B1,,,
,Stoicism,philosophy,B1,,,
,Stories Within Stories,drama,B1,,,
,Superfoods,health,B1,,,
,Sustainable Seafood,food,B1,,,
,Tactile Learning,psychology,B1,,,
,The Airport Check-In,dialogue,B1,,,
,The Basics of Coding,technology,B1,,,
,The Berlin Wall,history,B1,,,
,The Big Bang Theory,science,B1,,,
,The Currency Exchange,dialogue,B1,,,
,The Dunning–Kruger Effect,psychology,B1,,,
,The Hero’s Journey,fantasy,B1,,,
,The History of Maps,history,B1,,,
,The Industrial Revolution,history,B1,,,
,The Psychology of Happiness,psychology,B1,,,
,The Renaissance,history,B1,,,
,The Secret Energy of Plants,science,B1,,,
,The Shining,horror,B1,,,
,The Small Choices That Shape Us,dialogue,B1,,,
,The Spanish Inquisition,history,B1,,,
,The Three-Body Problem,science fiction,B1,,,
,The Truman Show,drama,B1,,,
,The Wizard of Oz,fantasy,B1,,,
,Tiny Homes,culture,B1,,,
,Tragic Flaws in Literature,drama,B1,,,
,Tropes,drama,B1,,,
,Unlikely Alliances in History,history,B1,,,
,Unusual Modes of Transportation,travel,B1,,,
,Vaccines,health,B1,,,
,Viruses,science,B1,,,
,"Wicked, Part I",fantasy,B1,,,
,"Wicked, Part II",fantasy,B1,,,
,Writing Systems,language,B1,,,
,AI and Medicine,technology,B2,,,
,Alternate History,fantasy,B2,,,
,Ancient Rome,history,B2,,,
,Animal Rights,philosophy,B2,,,
,Artificial Intelligence in Fiction,science fiction,B2,,,
,Atheism,philosophy,B2,,,
,Black Holes,science,B2,,,
,Book Burnings,history,B2,,,
,Cashless Societies,technology,B2,,,
,Christianity,philosophy,B2,,,
,Circadian Rhythms,health,B2,,,
,Cognitive Biases,psychology,B2,,,
,Conspiracy Theories,psychology,B2,,,
,Craving Versus Longing,psychology,B2,,,
,Cyberpunk,science fiction,B2,,,
,Digital Nomads,culture,B2,,,
,Dreams as a Narrative Devices,drama,B2,,,
,Dualities in Characters,drama,B2,,,
,Eternal Sunshine of the Spotless Mind,drama,B2,,,
,Ethical Consumerism,philosophy,B2,,,
,Exoplanets,science,B2,,,
,Exploring a Haunted House,horror,B2,,,
,Feminism,politics,B2,,,
,Francoist Spain,history,B2,,,
,Friedrich Nietzsche,biography,B2,,,
,Gay Icons,culture,B2,,,
,Homo Deus,history,B2,,,
,Islam,philosophy,B2,,,
,Judaism,philosophy,B2,,,
,Liberalism,politics,B2,,,
,Lost in Space,science fiction,B2,,,
,Lost in Translation,drama,B2,,,
,Maglev Trains,technology,B2,,,
,Meditation,psychology,B2,,,
,Mental Health,health,B2,,,
,Mesopotamia,history,B2,,,
,Mob Mentalities,psychology,B2,,,
,Modern Dictatorships,politics,B2,,,
,Modern Propaganda,politics,B2,,,
,Multitasking,psychology,B2,,,
,Natalie Wynn,philosophy,B2,,,
,Neurodiversity,psychology,B2,,,
,Nineteen Eighty-Four,drama,B2,,,
,Overcoming a Language Barrier,monologue,B2,,,
,Personality Traits,psychology,B2,,,
,Phoenixes,fantasy,B2,,,
,Procrastination,psychology,B2,,,
,Queer Life in Spain,culture,B2,,,
,Sapiens,history,B2,,,
,Scandinavian Design,culture,B2,,,
,Smartphones,technology,B2,,,
,Social Media,technology,B2,,,
,Socrates' Quest for Truth,philosophy,B2,,,
,Spanish–United States Relations,history,B2,,,
,Staple Foods,food,B2,,,
,Terraforming Mars,science fiction,B2,,,
,The Allegory of the Cave,philosophy,B2,,,
,The Allure of Hidden Places,psychology,B2,,,
,The Cabin in the Dark,horror,B2,,,
,The City in the Trees,fantasy,B2,,,
,The Cold War,history,B2,,,
,The Crisis of Masculinity,culture,B2,,,
,The Fear of Missing Out,psychology,B2,,,
,The Lives of Others,drama,B2,,,
,The Nation-State,politics,B2,,,
,The Norse Gods,fantasy,B2,,,
,The Placebo Effect,psychology,B2,,,
,The Psychology of Loneliness,psychology,B2,,,
,The Raven,horror,B2,,,
