English,CEFR,gender,word,wordAudio,pronunciation,transliteration,definition,sentenceAudio,example,sentenceTranslation
pear,A1,masculine,אגס,X,אַגָּס,agás,פרי קטן ירוק או צהוב ומתוק,X,האגס טעים.,The pear is tasty.
"steam, vapor",B1,masculine,אד,,אָד,ed,מים במצב גז,,אד עלה מהכוס החמה.,Steam rose from the hot cup.
red,A1,adjective,אדום,X,אֲדוֹם,adóm,צבע בוהק בין ורוד לכתום,X,התפוח אדום.,The apple is red.
lord,B2,masculine,אדון,,אֲדוֹן,adón,מי שנחשב שליט או אדון,,אדון האחוזה היה אדם נדוב וחכם.,The lord of the estate was a generous and wise man.
my lord,B2,masculine,אדוני,,אֲדוֹנִי,adonái,תואר כבוד לאדון,,"אדוני, הכל מוכן כפי שצווית.","My lord, everything is ready as you commanded."
"person, human",A1,masculine,אדם,X,אָדָם,adám,יצור אנושי,X,אדם הולך ברחוב.,A person is walking on the street.
"earth, soil",A1,feminine,אדמה,X,אֲדָמָה,adamá,חומר שמכסה את פני השטח של כדור הארץ,X,האדמה חומה.,The soil is brown.
architect,B1,masculine,אדריכל,,אַדְרִיכָל,adriħál,מי שמתכנן מבנים,,האדריכל תכנן בית משפחה חדש.,The architect designed a new family house.
architecture,B2,feminine,אדריכלות,,אַדְרִיכָלוּת,adriħalút,תחום תכנון הבניינים,,האדריכלות המודרנית משלבת חומרים יחידיים.,Modern architecture integrates unique materials.
"love, like",A1,verb,אהב,X,אָהַב,aháv,הרגשה חזקה של חיבה או רצון בקרבת מישהו,X,הוא אהב את הספר.,He loved the book.
love,A1,feminine,אהבה,X,אַהֲבָה,ahavá,תחושה עמוקה של קשר וחיבה לאדם או לדבר,X,אהבה היא דבר טוב.,Love is a good thing.
"loved one, favorite",A2,adjective,אהוב,X,אָהוּב,ahúv,מי שמקובל ואהוב על אחרים,,הספר הזה אהוב עלי מאוד.,This book is very dear to me.
or,A1,,או,X,אוֹ,o,מילת חיבור לבחירה בין אפשרויות,X,אתה רוצה תה או קפה?,Do you want tea or coffee?
objective,B2,adjective,אובייקטיבי,,אוֹבּיֵיקְטִיבִי,obyektívi,שמבוסס על עובדות ולא על דעה,,העיתונאי ניסה לכתוב מאמר אובייקטיבי למרות דעותיו האישיות.,The journalist tried to write an objective article despite his personal opinions.
August,A1,masculine,אוגוסט,X,אוֹגוּסְט,ogúst,החודש השמיני בלוח השנה הלועזי,X,אוגוסט הוא חודש חם מאוד.,August is a very hot month.
goose,A2,masculine,אווז,X,אוָוז,aváz,עוף מים גדול בעל צוואר ארוך,,באגם יש אווזים לבנים.,There are white geese in the lake.
air,A1,masculine,אוויר,X,אֲוִויר,avír,החומר שאנשים ובעלי חיים נושמים,X,האוויר קר היום.,The air is cold today.
atmosphere,B1,feminine,אווירה,,אֲוִירָה,avirá,תחושה כללית במקום,,יש כאן אוירה חמה ונעימה.,There is a warm and pleasant atmosphere here.
bus,A1,masculine,אוטובוס,X,אוֹטוֹבּוּס,otobús,כלי תחבורה גדול הנוסע בכבישים ומוביל נוסעים,X,האוטובוס מגיע.,The bus is arriving.
autonomy,B2,feminine,אוטונומיה,,אוֹטוֹנוֹמְיָה,otonómya,יכולת של שלטון עצמאי,,המדינה נלחמת בעד אוטונומיה תרבותית.,The country is fighting for cultural autonomy.
enemy,B1,masculine,אויב,,אוֹיֵב,oyév,אדם שמתקיף,,האויב לא נראה באופק.,The enemy was not visible on the horizon.
"airplane, plane",B1,masculine,אוירון,,אוִירוֹן,avirón,כלי טיס קטן,,האוירון הזה קטן ומיושן.,This airplane is small and old.
food,A1,masculine,אוכל,X,אוֹכֵל,óħel,דבר מה שמכניסים לפה כדי להזין את הגוף,X,האוכל טעים.,The food is tasty.
population,B1,feminine,אוכלוסייה,,אוֹכְלוֹסִיָּה,ukhlusiyá,כלל האנשים באזור מסוים,,האוכלוסיה התרבתה בעיר בשנים האחרונות.,The population of the city has grown in recent years.
population,B2,masculine,אוכלוסין,,אוֹכְלוּסִין,ukhlusín,כלל האנשים באזור מסוים,,האוכלוסין בעיר גדלים בקצב מהיר יותר ממה שהעירייה ציפתה.,The population in the city is growing faster than the municipality expected.
ultimate,B2,adjective,אולטימטיבי,,אוּלְטִימָטִיבִי,ultimatívi,בצורה המרבית ביותר,,ההחלטה לעבור לחו״ל הייתה הצעד האולטימטיבי מבחינתה.,The decision to move abroad was the ultimate step for her.
maybe,A1,adverb,אולי,X,אוּלַי,ulái,אפשרות שדבר יקרה או לא יקרה,X,אולי נלך לים מחר.,Maybe we will go to the beach tomorrow.
hall,A2,masculine,אולם,X,אוּלָם,ulám,מבנה גדול לכינוסים,,האירוע יתקיים באולם גדול.,The event will take place in a large hall.
"studio, ulpan, Hebrew school",B1,masculine,אולפן,,אוּלְפָּן,ulpán,מקום ללימוד שפה,,הוא לומד עברית באולפן בתל אביב.,He is learning Hebrew at the ulpan in Tel Aviv.
artist,A1,masculine,אומן,X,אוֹמָן,omán,אדם שיוצר יצירות אמנות,X,האומן מצייר.,The artist is painting.
craftsman,B1,masculine,אומן,,אוֹמָן,umán,אדם בעל מלאכה,,האומן עשה כלי חרס בידיו.,The craftsman made ceramic tools by hand.
"craft, skill",B1,feminine,אומנות,,אוֹמָנוּת,umanút,עיסוק ביצירה או כישרון,,אומנות טובה דורשת ניסיון וכישרון.,Craft requires experience and skill.
university,A2,feminine,אוניברסיטה,X,אוּנִיבֶרְסִיטָה,univérsita,מוסד להשכלה גבוהה,,אני לומד באוניברסיטה בירושלים.,I study at a university in Jerusalem.
collection,B1,masculine,אוסף,,אוֹסֶף,ósef,קבוצת דברים שנאספו,,לאוסף הזה יש שוי רב.,This collection has great value.
baker,A2,masculine,אופה,X,אוֹפֶה,ofé,אדם שאופה לחם ומאפים,,האופה מכין לחם טרי כל יום.,The baker prepares fresh bread every day.
opposition,B2,feminine,אופוזיציה,,אוֹפּוֹזִיצְיָה,opozítsya,קבוצה המתנגדת לשלטון,,האופוזיציה מתנגדת לחוק החדש שהממשלה מציעה.,The opposition opposes the new law proposed by the government.
optimistic,B1,adjective,אופטימי,,אוֹפְּטִימִי,optími,בעל השקפה אופטימית,,היא אופטימית ותומדת שכל דבר יהיה טוב.,She is optimistic and believes that everything will be fine.
optimal,B2,adjective,אופטימלי,,אוֹפְּטִימָלִי,optimáli,בצורה מיטבית,,הפתרון האופטימלי לבעיה נמצא לאחר מחקר ארוך.,The optimal solution to the problem was found after long research.
"way, manner",B1,masculine,אופן,,אוֹפֶן,ófen,דרך פעולה או אופן התנהגות,,אין זאת האופן הנכון לפתור את הבעיה.,This is not the correct way to solve the problem.
motorcycle,A2,masculine,אופנוע,X,אוֹפַנּוֹעַ,ofanóa,כלי רכב דו־גלגלי עם מנוע,,יש לו אופנוע חדש ומהיר.,He has a new and fast motorcycle.
bicycle,A1,masculine,אופניים,X,אוֹפַנַּיִם,ofanáyim,כלי תחבורה דו־גלגלי שמניעים ברגליים,X,הילד רוכב על אופניים.,The boy is riding a bicycle.
option,B2,feminine,אופציה,,אוֹפְּצְיָה,óptsia,בחירה בין אפשרויות,,יש לך אופציה לבחור בין שני מסלולים שונים.,You have the option to choose between two different paths.
optional,B2,adjective,אופציונלי,,אוֹפְּצְיוֹנָלִי,optzyonali,בעל אפשרות לבחירה,,השתתפות בהרצאה היא אופציונלית ולא חובה.,Participation in the lecture is optional and not mandatory.
horizon,A2,masculine,אופק,X,אוֹפֶק,ófek,הקו שבו השמיים נפגשים עם האדמה,,האופק כחול ויפה.,The horizon is blue and beautiful.
horizontal,B2,adjective,אופקי,,אוֹפְקִי,ofkí,שנמשך לרוחב,,הבניין מתוכנן בקו אופקי המדגיש את הרוחב.,The building is designed with a horizontal line that emphasizes its width.
horizontality,C,feminine,אופקיות,,אוֹפְקִיּוּת,ofkiyút,תכונה של היות אופקי,,הארכיטקט דיבר על אופקיות המבנה.,The architect spoke about the horizontality of the building.
opera,B1,feminine,אופרה,,אוֹפֵּרָה,ópera,יצירה מוסיקלית דרמטית,,הייתי באופרה והמוסיקה היתה מדהימה.,"I went to the opera, and the music was amazing."
treasure,B1,masculine,אוצר,,אוֹצָר,otsár,דבר יקר ערך,,הים מחסיק בתוכו אוצרות רבים.,The sea holds many treasures within it.
October,A1,masculine,אוקטובר,X,אוֹקְטוֹבֶּר,október,החודש העשירי בלוח השנה הלועזי,X,אוקטובר הוא חודש סתיו.,October is an autumn month.
ocean,B1,masculine,אוקיינוס,,אוֹקְיָנוֹס,okyanós,ים גדול מאוד,,האוקיינוס השקט הוא הגדול ביותר בעולם.,The Pacific Ocean is the largest in the world.
light,A1,masculine,אור,X,אוֹר,or,קרני השמש או הארה ממנורה,X,יש אור בחדר.,There is light in the room.
organic,B2,adjective,אורגני,,אוֹרְגָּנִי,orgáni,שייך לאורגנים חיים או לחקלאות טבעית,,החווה מתנהלת לפי עקרונות חקלאות אורגנית.,The farm is run according to principles of organic agriculture.
organism,B2,masculine,אורגניזם,,אוֹרְגָּנִיזְם,organizm,יצור חי,,כל אורגניזם זקוק למים כדי לשרוד.,Every organism needs water to survive.
rice,A1,masculine,אורז,X,אוֹרֶז,órez,גרגרים לבנים המשמשים לאכילה,X,אני אוכל אורז.,I am eating rice.
guest,A2,masculine,אורח,X,אוֹרֵחַ,oréaħ,אדם שבא להתארח,,האורח הגיע מוקדם למסיבה.,The guest arrived early to the party.
orthodox,B2,adjective,אורתודוקסי,,אוֹרְתוֹדוֹקְסִי,ortodóksi,שייך לזרם הדתי השומר בקפדנות על מסורת,,המשפחה שומרת על אורח חיים אורתודוקסי.,The family maintains an Orthodox lifestyle.
letter in the alphabet,A1,feminine,אות,X,אוֹת,ot,סימן גרפי במערכת הכתב,X,אני כותב אות על הנייר.,I write a letter on the paper.
"sign, signal",A2,masculine,אות,X,אוֹת,ot,סימן שנותן מידע,,אני מחכה לאות ממך.,I'm waiting for a sign from you.
me,A1,pronoun,אותי,X,אוֹתִי,oti,כינוי גוף שמציין את הדובר בפועל,X,הוא אוהב אותי.,He loves me.
them,A1,masculine,אותם,X,אוֹתָם,otám,כינוי גוף שמציין אנשים אחרים,X,אני מכיר אותם.,I know them.
"so, then",A1,,אז,X,אָז,az,מילת קישור המציינת תוצאה או רצף,X,"הוא היה עייף, אז הוא ישן.","He was tired, so he slept."
"area, region",A2,masculine,אזור,X,אֵזוֹר,ezór,שטח מוגדר בארץ,,האזור הזה מלא בהרים ונהרות.,This area is full of mountains and rivers.
brother,A1,masculine,אח,X,אָח,aħ,בן לאותם הורים,X,יש לי אח קטן.,I have a little brother.
one,A1,masculine,אחד,X,אֶחָד,eħád,מספר ראשון בספירה,X,יש לי תפוח אחד.,I have one apple.
unity,B1,feminine,אחדות,,אַחְדוּת,aħdút,מצב שבו יש חיבור ואחדות,,אחדות העם חשובה לי.,The unity of the people is important to me.
brotherhood,B2,feminine,אחווה,,אַחֲוָה,aħavá,קשר אחווה בין אנשים,,האחווה בין התלמידים חשובה לי מאוד.,The brotherhood among the students is very important to me.
sister,A1,feminine,אחות,X,אָחוֹת,aħót,בת לאותם הורים,X,אחותי לומדת בבית־הספר.,My sister studies at school.
"other, another",A1,adjective,אחר,X,אַחֵר,aħér,שונה מזה שכבר הוזכר,X,אני רוצה ספר אחר.,I want another book.
after,B2,preposition,אחר,,אַחֵר,aħár,מילת יחס לציון זמן מאוחר יותר,,הטקס נתקיים ימים רבים אחר ההצבעה.,The ceremony took place many days after the vote.
afternoon,A1,masculine,אחר הצהריים,X,אַחַר הַצָּהֳרַיִם,aħár hatsohoráim,החלק של היום אחרי הצהריים,X,אני פוגש חבר אחר הצהריים.,I meet a friend in the afternoon.
"later, afterwards",A1,adverb,אחר כך,X,אַחַר כָּךְ,aħár káħ,בזמן מאוחר יותר,X,אני הולך הביתה אחר כך.,I'm going home later.
responsible,B1,adjective,אחראי,,אַחְרָאִי,aħrai,מי שנושא באחריות,,המנהל אחראי על הפרויקט הזה.,The manager is responsible for this project.
after,A1,preposition,אחרי,X,אַחֲרֵי,aħaréi,מילת יחס המציינת זמן מאוחר יותר ממשהו,X,אחרי השיעור אני אוכל.,"After the lesson, I eat."
responsibility,B1,feminine,אחריות,,אַחְרָיוּת,aħarayút,חובה או מחויבות,,לכלו אחריות היא תכלית הבגרות.,Taking responsibility is the essence of maturity.
one,A1,feminine,אחת,X,אַחַת,aħát,מספר ראשון בנקבה,X,יש לי ילדה אחת.,I have one girl.
atomic,B2,adjective,אטומי,,אַטּוֹמִי,atomí,קשור לאטום,,הפצצה האטומית שינתה את ההיסטוריה.,The atomic bomb changed history.
island,A2,masculine,אי,X,אִי,i,יבשה מוקפת מים,,הם נסעו לחופשה באי קטן.,They went on vacation to a small island.
loss (of an item),B2,masculine,איבוד,,אִבּוּד,ibúd,אובדן של חפץ או דבר,,איבוד המפתחות גרם לו לאחר לפגישה.,Losing the keys caused him to be late for the meeting.
ideal,B2,masculine,אידיאל,,אִידֵיאַל,ideál,רעיון מושלם לשאיפה,,השוויון נחשב אידיאל חשוב בחברה דמוקרטית.,Equality is considered an important ideal in a democratic society.
ideal,B2,adjective,אידיאלי,,אִידֵיאָלִי,ideali,בעל תכונה מושלמת,,היא חיה לפי סדר יום אידיאלי ומאוזן.,She lived according to an ideal and balanced daily schedule.
Yiddish,B1,feminine,אידיש,,אִידִּישׁ,ídish,שפה יהודית אשכנזית,,סבתא שמחה שהנכדים לומדים אידיש.,Grandma is happy that the grandchildren are learning Yiddish.
threat,B2,masculine,איום,,אַיּוּם,iyum,איום או סכנה,,המשבר הכלכלי מהווה איום על היציבות החברתית.,The economic crisis poses a threat to social stability.
"which, what",A1,masculine,איזה,X,אֵיזֶה,éize,מילת שאלה לברור אפשרות,X,איזה צבע אתה אוהב?,Which color do you like?
slow,A2,adjective,איטי,X,אִיטִי,ití,שאינו מהיר,,האינטרנט בבית שלי איטי מאוד.,The internet in my house is very slow.
Italian,A2,adjective,איטלקי,X,אִיטַלְקִי,italkí,שייך לאיטליה,,הוא אוכל אוכל איטלקי במסעדה.,He's eating Italian food at the restaurant.
how,A1,,איך,X,אֵיךְ,éiħ,מילת שאלה על אופן או דרך,X,איך אתה מרגיש?,How do you feel?
"peasant, farmer",B2,masculine,איכר,,אִכָּר,ikár,עובד אדמה פשוט,,האיכר חרש את השדה עם הסוס שלו.,The peasant plowed the field with his horse.
"terror, horror",B2,feminine,אימה,,אֵימָה,éima,תחושת פחד קיצונית,,הסרט הזה מלא באימה ומותח.,This movie is full of horror and suspense.
email,A2,masculine,אימייל,X,אִימֵיְיל,ímeil,דואר אלקטרוני,,שלחתי לך אימייל אתמול.,I sent you an email yesterday.
empire,B2,feminine,אימפריה,,אִימְפֶּרְיָה,imperyá,מדינה ענקית ששולטת באחרות,,האימפריה הרומית שלטה על שטחים עצומים.,The Roman Empire ruled over vast territories.
there's no,A1,phrase,אין,X,אֵין,ein,מילת שלילה המציינת חוסר קיום,X,אין חלב במקרר.,There is no milk in the fridge.
internet,A1,masculine,אינטרנט,X,אִינְטֶרְנֶט,ínternet,רשת עולמית לתקשורת ומידע,X,אני משתמש באינטרנט כל יום.,I use the internet every day.
"internet, online",B1,adjective,אינטרנטי,,אִינְטֶרְנֶטִי,internéti,קשור לאינטרנט,,הוא פרסם ממכר אינטרנטי.,He posted an online advertisement.
information,A2,feminine,אינפורמציה,X,אִינְפוֹרְמַצְיָה,informátsya,נתונים או ידיעות,,אני מחפש אינפורמציה על העיר.,I'm looking for information about the city.
inflation,B2,feminine,אינפלציה,,אִינְפְלַצְיָה,inflátsya,עלייה במחירים במשק,,האינפלציה גרמה לעלייה חדה במחירים.,Inflation caused a sharp rise in prices.
"prohibition, ban",B2,masculine,איסור,,אִסּוּר,isúr,איסור על פעולה מסוימת,,יש איסור מוחלט על עישון במבנה הזה.,There is a total ban on smoking in this building.
where,A1,,איפה,X,אֵיפֹה,efó,מילת שאלה למקום,X,איפה הבית שלך?,Where is your house?
"event, function",B1,masculine,אירוע,,אֵירוּעַ,erúa,אירוע שמתרחש,,האירוע נהדר וכולם נהנו מאוד.,"The event was wonderful, and everyone had a great time."
Europe,A1,feminine,אירופה,X,אֵירוֹפָּה,erópa,יבשת גדולה שבה מדינות רבות,X,אירופה היא יבשת גדולה.,Europe is a big continent.
"man, husband",A1,masculine,איש,X,אִישׁ,ish,זכר בוגר או בן זוג נשוי,X,האיש גבוה.,The man is tall.
businessman,B1,masculine,איש עסקים,,אִישׁ עֲסָקִים,ish asakím,אדם העוסק במסחר,,האיש עסקים הזה מצליח בכל המזמורים שלו.,This businessman is successful in all his ventures.
snowman,A2,masculine,איש שלג,X,אִישׁ שֶׁלֶג,ish shéleg,דמות עשויה משלג,,הילדים בנו איש שלג בגינה.,The children built a snowman in the garden.
"pupil, little man",B2,masculine,אישון,,אִישׁוֹן,ishón,החלק השחור שבעין,,האישון מתכווץ כאשר נכנס אור חזק לעין.,The pupil contracts when strong light enters the eye.
"personal, private",B1,adjective,אישי,,אִישִׁי,ishí,שייך לאדם באופן אישי,,כל אחד יש לו חיים אישיים ופרטיים.,Everyone has their own personal and private life.
personality,B2,feminine,אישיות,,אִישִׁיּוּת,ishiyút,תכונותיו של אדם,,לאישיות הכריזמטית שלו הייתה השפעה רבה על תלמידיו.,His charismatic personality had great influence on his students.
disappointment,B1,feminine,אכזבה,,אַכְזָבָה,akhzavá,תחושת אכזבה או אובדן תקווה,,אני מרגיש אכזבה מהתוצאות.,I feel disappointment with the results.
eating,A2,feminine,אכילה,X,אֲכִילָה,aħilá,פעולה של הכנסת אוכל לפה,,אכילה בריאה חשובה לבריאות.,Healthy eating is important for health.
eat,A1,verb,אכל,X,אָכַל,aħál,הכניס מזון לפה כדי ללעוס ולבלוע,X,הוא אכל ארוחת בוקר.,He ate breakfast.
don't,A2,,אל,X,אֶל,al,מילת ציווי לשלילה,,אל תלך לבדך בלילה.,Don't walk alone at night.
"god, strength",B1,masculine,אל,,אֵל,el,כוח עליון או אלוהות,,האל הזה מיוחס לאלילים היוונים.,This god is associated with Greek mythology.
deodorant,C,masculine,אל־ריח,,אֶל־רֵיחַ,al-réakh,חומר למניעת ריח גוף,,הוא משתמש באל־ריח כדי להישאר רענן.,He uses deodorant to stay fresh.
album,A2,masculine,אלבום,X,אַלְבּוֹם,albóm,ספר עם אוסף תמונות או שירים,,יש לי אלבום תמונות מהטיול.,I have a photo album from the trip.
allegory,B2,feminine,אלגוריה,,אַלֵּגוֹרְיָה,algoria,סיפור סמלי עם משמעות עמוקה,,הסיפור משמש אלגוריה על החיים.,The story serves as an allegory about life.
god,A1,masculine,אלוהים,X,אֱלֹהִים,elohím,הכוח העליון ביהדות,X,הרבה אנשים מאמינים באלוהים.,Many people believe in God.
"god, our",B2,masculine,אלוהינו,,אֱלֹהֵינוּ,elohéinu,כינוי לאל שלנו,,אלוהינו הוא חלק מהמורשת הרוחנית.,Our God is part of spiritual heritage.
wireless,B1,adjective,אלחוטי,,אַלְחוּטִי,alkhutí,ללא חוטים,,הקשר בין המחשב לרשת אלחוטי.,The connection between the computer and the network is wireless.
violent,B1,adjective,אלים,,אַלִּים,alím,משתמש בכוח באופן קיצוני,,האונות שלו היו אלימות מאוד.,His actions were very violent.
violence,B1,feminine,אלימות,,אַלִּימוּת,alimút,שימוש בכוח מזיק כלפי אחרים,,האלימות בעולם צריכה להפסק.,Violence in the world needs to stop.
verbal abuse,B2,feminine,אלימות מילולית,,אַלִּימוּת מִלּוּלִית,alimút milulít,התבטאות פוגענית במילים,,אלימות מילולית יכולה לפגוע כמו אלימות גופנית.,Verbal abuse can be as harmful as physical violence.
mute,C,masculine,אלם,,אִלֵּם,ilém,אדם חסר יכולת דיבור,,מאז התאונה הוא שקע באלם מוחלט.,"Since the accident, he has sunk into complete muteness."
element,B2,masculine,אלמנט,,אֶלֶמֶנְט,element,חלק יסודי במבנה,,כל אלמנט בעיצוב נבחר בקפידה.,Every element in the design was chosen carefully.
thousand,A1,masculine,אלף,X,אֶלֶף,élef,המספר הגדול מעשר פעמים מאה,X,יש אלף אנשים בעיר.,There are a thousand people in the city.
alphabet,A1,masculine,אלפבית,X,אַלְפָּבֵּית,alefbét,מערכת של סימנים לייצוג השפה בכתב,X,אני לומד את האלפבית העברי.,I'm learning the Hebrew alphabet.
allergic,A2,adjective,אלרגי,X,אַלֶרְגִּי,alérgi,בעל רגישות מיוחדת לחומר מסוים,,הוא אלרגי לאגוזים.,He is allergic to nuts.
allergy,A2,feminine,אלרגיה,X,אַלֶרְגִּיָּה,alérgya,תגובה רפואית לגירוי מסוים,,אני סובל מאלרגיה לאבקת פרוחים.,I suffer from a pollen allergy.
mother,A1,feminine,אם,X,אִם,ém,אישה שנתנה חיים לילד,X,האם שלי עובדת בבית־חולים.,My mother works at a hospital.
if,A1,,אם,X,אִם,im,מילת תנאי,X,"אם יורד גשם, אני נשאר בבית.","If it rains, I'm staying at home."
mom,A1,feminine,אמא,X,אִמָּא,íma,כינוי חיבה לאישה שנתנה חיים לילד,X,אמא שלי מבשלת אוכל טעים.,My mom cooks delicious food.
bath,A1,feminine,אמבטיה,X,אַמְבַּטְיָה,ambátya,חדר לרחצה עם מים,X,הילד נכנס לאמבטיה.,The child gets into the bathtub.
"belief, faith",B1,feminine,אמונה,,אֱמוּנָה,emuná,אמונה פנימית ברעיון או באלוהים,,היתה לו אמונה בעצמו שהוא יצליח.,He had faith in himself that he would succeed.
saying,B1,feminine,אמירה,,אֲמִירָה,amirá,משפט קצר שנאמר,,כל אמירה שלנו יכולה להשפיע על אחרים.,Every saying of ours can influence others.
"true, truthful",A2,adjective,אמיתי,X,אֲמִתִּי,amití,שאינו שקרי,,זה סיפור אמיתי ולא בדיון.,"This is a true story, not fiction."
truly,A1,verb,אמן,X,אָמָּן,amén,מילת קריאה שמביעה אמונה או תקווה,X,הוא אמר אמן אחרי התפילה.,He said amen after the prayer.
art,B1,feminine,אמנות,,אָמָנוּת,omanút,תחום היצירה והביטוי האסתטי,,בתה לומדת אמנות באוניברסיטה.,His daughter is studying art at the university.
artistic,B2,adjective,אמנותי,,אָמָנוּתִי,omanutí,שייך לאמנות,,התעיצוב היה אמנותי ומיוחד.,The design was artistic and unique.
"indeed, truly",B2,verb,אמנם,,אָמְנָם,omnám,אכן כך,,"אמנם הוא צעיר, אך יש לו ניסיון מרשים.","Indeed, he is young, but he has impressive experience."
empathy,B2,feminine,אמפתיה,,אֵמְפַּתְיָה,empatiá,יכולת להזדהות עם רגשות האחר,,אמפתיה היא תכונה חשובה בתקשורת בין אנשים.,Empathy is an important trait in human communication.
"say, tell",A1,verb,אמר,X,אָמַר,amár,הביע במילים מחשבה או מסר,X,הוא אמר לי שלום.,He said hello to me.
American,A1,adjective,אמריקאי,X,אַמֶרִיקָאִי,amerikái,מתאר דבר או אדם מארצות הברית,X,החבר שלי אמריקאי.,My friend is American.
truth,A2,feminine,אמת,X,אֱמֶת,emét,העובדה שאינה שקר,,האמת תמיד חשובה.,The truth is always important.
"English, English language",A1,feminine,אנגלית,X,אַנְגְּלִית,anglít,שפה שמקורה באנגליה,X,אני מדבר אנגלית טוב.,I speak English well.
selfish,C,adjective,אנוכי,,אַנּוֹכִי,anoħí,בעל אופי של דאגה לעצמו בלבד,,הוא פעל בצורה אנוכית בלי להתחשב באחרים.,He acted selfishly without considering others.
humanity,B2,feminine,אנושׁות,,אֱנוֹשׁוּת,enoshút,המין האנושי כולו,,האנושות עמדה לפני אתגרים גדולים בהיסטוריה.,Humanity has faced great challenges throughout history.
human,B1,masculine,אנושי,,אֱנוֹשִׁי,enoshí,שייך לאדם,,לכל אדם יש זכויות אנושיות.,Every person has human rights.
we,A1,pronoun,אנחנו,X,אֲנַחְנוּ,anáħnu,צורת רבים הכוללת את המדבר ואחרים,X,אנחנו הולכים לים.,We're going to the beach.
antisemitic,B1,adjective,אנטישמי,,אַנְטִישֵׁמִי,antishémi,שונא יהודים,,דעה אנטישמית היא מסוכנת.,An antisemitic opinion is dangerous.
I,A1,pronoun,אני,X,אֲנִי,aní,כינוי גוף ראשון ליחיד,X,אני אוהב קפה.,I like coffee.
energy,B1,feminine,אנרגיה,,אֶנֶרְגִּיָּה,energiya,כוח פיזי או נפשי,,היא חשה אנרגיה חיובית בחדר.,She felt positive energy in the room.
"prohibited, forbidden",A2,adjective,אסור,X,אָסוּר,asúr,דבר שאינו מותר,,אסור לעשן במסעדה.,Smoking is prohibited in the restaurant.
strategy,B2,feminine,אסטרטגיה,,אַסְטְרָטֶגְיָה,astratégya,תכנית פעולה לטווח ארוך,,החברה צריכה לגבש אסטרטגיה לעתיד.,The company needs to develop a strategy for the future.
